Sub-Saharan_African:Bantu_S.W.,-0.6222873,0.0658643,0.018425,0.0160116,0.0006156,0.0075699,0.0014437,0.0089336,-0.0274354,0.0172863,0.0028534,-0.0046459,-0.0030369,0.001966,-0.0051573,0.004887,-0.0033901,0.0217903,-0.0106846,0.0037876,-0.0011764,0.0004591,0.0014964,0.0002411,-0.0005471
Sub-Saharan_African:Yoruba,-0.6300625,0.0625011,0.022113,0.0167079,0.0005035,0.0124741,-0.044417,0.0477673,-0.0488813,0.0327694,0.0046205,0.0007904,0.0230561,0.0009509,0.0125232,-0.0096067,0.0070763,0.0004491,0.006022,-0.00299,0.0015542,0.0023156,-0.0017592,-0.0004711,-0.0004246
Sub-Saharan_African:Khomani_San,-0.6220435,0.060424,0.02093,0.030039,-0.0004615,0.000837,0.236773,-0.1823,0.0185095,0.0067425,0.00203,-0.053952,-0.0211845,0.005505,0.018797,-0.0212805,0.029662,0.2623085,-0.0877375,0.001751,-0.0331915,-0.002844,0.0038205,-0.0050005,0.0016765
Sub-Saharan_African:Mbuti,-0.647426,0.0591038,0.0254932,0.0374034,-0.001108,0.0066378,0.3663348,-0.293434,0.0177118,0.02985,-0.0089316,0.2198242,0.1264506,0.0010182,0.010342,-0.0014052,0.0009386,-0.0518664,0.014229,0.003727,0.0061144,-0.0018548,-0.0043878,0.0025304,-0.0006944
Sub-Saharan_African:Ju_hoan_North,-0.616466,0.0601194,0.0211942,0.028424,0.0025852,-0.0038486,0.2541404,-0.199192,0.0240112,0.007909,0.0032478,-0.0723558,-0.0255104,0.00867,0.0283928,-0.0321662,0.0461558,0.4102178,-0.1364076,0.003877,-0.0556018,-0.0051686,0.0126206,-0.0044826,0.0028978
Sub-Saharan_African:Bakola,-0.6413935,0.060424,0.026587,0.0308465,0.001231,0.0041835,0.157692,-0.1221875,-0.015339,0.032256,0.0061705,-0.0892455,-0.02884,-0.0017205,0.0046825,-0.002917,0.0011085,0.0026605,0.0005025,0.0015635,-0.0008735,-0.003957,-0.001479,0.0012655,-0.0014365
Sub-Saharan_African:Bedzan,-0.641962,0.062963,0.0228155,0.0279395,0.002308,0.00753,0.1360715,-0.0992265,-0.0204525,0.03098,0.0064955,-0.081602,-0.0254955,-0.0052985,0.004411,-0.0037785,0.003325,-0.0019635,0.0019485,0.0020005,-0.0044295,-0.001669,-0.001356,-0.0016265,-0.0021555
Sub-Saharan_African:Baka,-0.640255,0.0629625,0.020553,0.030362,0.003385,0.0099005,0.153462,-0.117226,-0.0211685,0.0320735,0.0094995,-0.1138235,-0.0373135,-0.0008945,0.0021035,-0.0034475,0.003194,-0.022107,0.005594,-0.0015005,0.0019965,-0.000371,0.001171,0.0021685,-0.002814
Sub-Saharan_African:Biaka,-0.6421518,0.061947,0.0265242,0.0331075,0.0016925,0.0083207,0.1721062,-0.133879,-0.0224977,0.0394542,0.0159953,-0.1475687,-0.0481908,-0.002546,0.0038228,-0.003425,-0.0008908,-0.0296027,0.0102023,-0.0006047,0.0022878,-0.0014837,-0.0015818,0.001004,-0.0030935
Ancient_Ancestral_South_Indian:S_AASI_Sim:Hakkipikki,-0.017354205,-0.304894303,-0.268679085,0.181329575,-0.039351991,0.073271504,-0.022843875,0.037359828,0.187881353,0.126707043,-0.010024877,-0.004718921,0.008198494,0.036303194,-0.056184046,-0.072647447,-0.011352189,0.00825265,0.004209097,0.038425578,0.00661663,0.026988706,0.007609686,0.01678573,-0.009232161
Ancient_Ancestral_South_Indian:S_AASI_Sim:Mala,0.003619659,-0.232207345,-0.238759358,0.177803307,-0.049846413,0.074427442,-0.013528674,0.028614532,0.145189154,0.099856405,-0.009629229,-0.007501248,0.004294371,0.024294913,-0.044886968,-0.038569947,0.008810692,-0.004591174,-0.004761423,0.029743743,0.014289671,0.018672895,0.00018522,0.016546395,-0.013074696
Ancient_Ancestral_South_Indian:S_AASI_Sim:Pulliyar,-0.004810655,-0.212137156,-0.203515802,0.148876368,-0.031558109,0.053539852,-0.011510205,0.024112889,0.125139446,0.089041726,0.000713882,-0.003792554,-0.000836537,0.024717049,-0.049653257,-0.032409686,0.023256422,0.001963602,0.003977382,0.044586008,0.007150366,0.028673754,-0.011179757,0.016897181,-0.011729691
Ancient_Ancestral_South_Indian:S_AASI_Sim:Irula,-0.009525226,-0.239836772,-0.208951108,0.15454375,-0.020718969,0.056088654,-0.012872771,0.020823205,0.131311868,0.088651109,0.000283925,-0.001321365,0.001259261,0.018812454,-0.040159185,-0.037173939,0.01966007,-0.002000181,-0.002444666,0.043405215,0.009660745,0.021705468,-0.00888917,0.013704877,-0.009439234





Message
